Date,Price,Open,High,Low,Vol.,Change %
22-Mar,109.73,98.58,133.09,98.33,352.34K,8.65%
22-Feb,100.99,89.62,105.79,87.72,5.89M,10.72%
22-Jan,91.21,78.11,91.7,77.04,5.45M,17.27%
21-Dec,77.78,69.8,80.17,65.72,5.18M,10.22%
21-Nov,70.57,83.63,85.5,70.22,6.62M,-16.37%
21-Oct,84.38,78.49,86.7,77.55,6.30M,7.46%
21-Sep,78.52,71.68,80.75,70.42,5.09M,7.58%
21-Aug,72.99,75.39,75.39,64.6,5.51M,-4.38%
21-Jul,76.33,74.69,77.84,67.44,5.85M,1.60%
21-Jun,75.13,69.39,76.6,69.29,5.06M,8.38%
21-May,69.32,66.7,70.24,64.57,5.09M,3.08%
21-Apr,67.25,63.12,68.95,61.25,5.05M,5.84%
21-Mar,63.54,64.85,71.38,60.27,6.63M,-3.92%
21-Feb,66.13,54.91,67.7,54.6,5.09M,18.34%
21-Jan,55.88,51.5,57.42,50.56,5.27M,7.88%
20-Dec,51.8,47.79,52.48,46.82,4.51M,8.85%
20-Nov,47.59,37.37,49.09,35.74,5.04M,27.04%
20-Oct,37.46,42.17,43.57,36.64,5.15M,-8.52%
20-Sep,40.95,45.6,46.22,39.3,4.40M,-9.56%
20-Aug,45.28,43.53,46.53,42.89,3.61M,4.57%
20-Jul,43.3,41.58,44.89,41.03,4.03M,5.22%
20-Jun,41.15,37.56,43.93,37.01,4.28M,16.47%
20-May,35.33,26.95,36.98,25.5,3.80M,39.81%
20-Apr,25.27,25.99,36.4,15.98,6.45M,11.13%
20-Mar,22.74,48.95,53.9,21.65,7.36M,-54.99%
20-Feb,50.52,56.16,60,50.05,5.27M,-13.14%
20-Jan,58.16,66.41,71.75,57.71,5.80M,-11.88%
19-Dec,66,60.73,68.99,60.3,4.45M,5.72%
19-Nov,62.43,59.45,64.6,59.4,4.79M,3.65%
19-Oct,60.23,59.38,62.34,56.15,5.61M,-0.90%
19-Sep,60.78,58.8,71.95,57.23,5.63M,0.58%
19-Aug,60.43,64.09,64.54,55.88,5.98M,-7.27%
19-Jul,65.17,65.05,67.65,61.29,5.71M,-2.07%
19-Jun,66.55,61.64,66.85,59.45,5.70M,3.19%
19-May,64.49,71.73,73.4,64.37,6.13M,-11.41%
19-Apr,72.8,67.58,75.6,67.58,5.49M,6.45%
19-Mar,68.39,66.48,68.89,64.02,4.84M,3.57%
19-Feb,66.03,61.06,67.73,60.46,4.55M,6.69%
19-Jan,61.89,54.12,63.15,52.51,5.48M,15.04%
18-Dec,53.8,59.98,63.73,49.93,4.73M,-8.36%
18-Nov,58.71,74.69,74.99,57.5,6.26M,-22.21%
18-Oct,75.47,82.79,86.74,75.09,6.90M,-8.76%
18-Sep,82.72,77.69,82.87,75.64,4.69M,6.85%
18-Aug,77.42,74.07,78.03,70.3,4.73M,4.27%
18-Jul,74.25,78.55,79.51,71.19,5.56M,-6.53%
18-Jun,79.44,77.71,79.7,72.45,5.97M,2.38%
18-May,77.59,74.65,80.5,72.38,6.37M,3.22%
18-Apr,75.17,69.32,75.47,66.69,6.23M,6.97%
